stimulus_id,file,category,correct_interpretation
S00,A078__screenshot_sim.jpg,signed_tampered_undeclared,credential_broken_content_altered
S01,A046__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S02,A019__platform_strip.jpg,signed_authentic,credential_valid_origin_confirmed
S03,A036__screenshot_sim.jpg,signed_edit_declared,credential_valid_edits_disclosed
S04,A060__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S05,A058__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S06,A080__platform_strip.jpg,signed_staged_scene,credential_valid_but_scene_staged
S07,A031__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S08,A079__platform_strip.jpg,signed_edit_declared,credential_valid_edits_disclosed
S09,A056__platform_strip.jpg,unsigned_authentic,no_credential_no_inference_possible
S10,A038__platform_strip.jpg,signed_authentic,credential_valid_origin_confirmed
S11,A036__original.jpg,signed_edit_declared,credential_valid_edits_disclosed
S12,A009__platform_strip.jpg,unsigned_authentic,no_credential_no_inference_possible
S13,A081__original.jpg,signed_authentic,credential_valid_origin_confirmed
S14,A047__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S15,A018__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S16,A052__original.jpg,signed_edit_declared,credential_valid_edits_disclosed
S17,A026__platform_strip.jpg,unsigned_generated,no_credential_no_inference_possible
S18,A049__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S19,A080__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S20,A065__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S21,A016__original.jpg,unsigned_authentic,no_credential_no_inference_possible
S22,A066__platform_strip.jpg,signed_tampered_undeclared,credential_broken_content_altered
S23,A045__platform_strip.jpg,unsigned_authentic,no_credential_no_inference_possible
S24,A006__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S25,A012__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S26,A004__original.jpg,unsigned_generated,no_credential_no_inference_possible
S27,A050__original.jpg,signed_authentic,credential_valid_origin_confirmed
S28,A048__original.jpg,signed_staged_scene,credential_valid_but_scene_staged
S29,A030__screenshot_sim.jpg,signed_tampered_undeclared,credential_broken_content_altered
S30,A069__platform_strip.jpg,signed_authentic,credential_valid_origin_confirmed
S31,A032__platform_strip.jpg,unsigned_authentic,no_credential_no_inference_possible
