asset_id,variant,file,category,issuer,issuer_trusted,hard_binding_intact,soft_binding_hamming,pixels_tampered_after_signing,depicts_staged_scene,is_generated,correct_verdict
A000,original,A000__original.jpg,signed_tampered_undeclared,northcam,1,0,18,1,0,0,credential_broken_content_altered
A000,recompress_q40,A000__recompress_q40.jpg,signed_tampered_undeclared,northcam,1,0,16,1,0,0,credential_broken_content_altered
A000,crop_10pct,A000__crop_10pct.jpg,signed_tampered_undeclared,northcam,1,0,28,1,0,0,credential_broken_content_altered
A000,resize_640,A000__resize_640.jpg,signed_tampered_undeclared,northcam,1,0,18,1,0,0,credential_broken_content_altered
A000,screenshot_sim,A000__screenshot_sim.jpg,signed_tampered_undeclared,northcam,1,0,18,1,0,0,credential_broken_content_altered
A000,platform_strip,A000__platform_strip.jpg,signed_tampered_undeclared,northcam,1,0,16,1,0,0,credential_broken_content_altered
A001,original,A001__original.jpg,signed_tampered_undeclared,northcam,1,0,12,1,0,0,credential_broken_content_altered
A001,recompress_q40,A001__recompress_q40.jpg,signed_tampered_undeclared,northcam,1,0,12,1,0,0,credential_broken_content_altered
A001,crop_10pct,A001__crop_10pct.jpg,signed_tampered_undeclared,northcam,1,0,26,1,0,0,credential_broken_content_altered
A001,resize_640,A001__resize_640.jpg,signed_tampered_undeclared,northcam,1,0,12,1,0,0,credential_broken_content_altered
A001,screenshot_sim,A001__screenshot_sim.jpg,signed_tampered_undeclared,northcam,1,0,20,1,0,0,credential_broken_content_altered
A001,platform_strip,A001__platform_strip.jpg,signed_tampered_undeclared,northcam,1,0,12,1,0,0,credential_broken_content_altered
A002,original,A002__original.jpg,signed_authentic,northcam,1,1,0,0,0,0,credential_valid_origin_confirmed
A002,recompress_q40,A002__recompress_q40.jpg,signed_authentic,northcam,1,0,0,0,0,0,credential_valid_origin_confirmed
A002,crop_10pct,A002__crop_10pct.jpg,signed_authentic,northcam,1,0,16,0,0,0,credential_valid_origin_confirmed
A002,resize_640,A002__resize_640.jpg,signed_authentic,northcam,1,0,0,0,0,0,credential_valid_origin_confirmed
A002,screenshot_sim,A002__screenshot_sim.jpg,signed_authentic,northcam,1,0,12,0,0,0,credential_valid_origin_confirmed
A002,platform_strip,A002__platform_strip.jpg,signed_authentic,northcam,1,0,0,0,0,0,credential_valid_origin_confirmed
A003,original,A003__original.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A003,recompress_q40,A003__recompress_q40.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A003,crop_10pct,A003__crop_10pct.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A003,resize_640,A003__resize_640.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A003,screenshot_sim,A003__screenshot_sim.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A003,platform_strip,A003__platform_strip.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A004,original,A004__original.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A004,recompress_q40,A004__recompress_q40.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A004,crop_10pct,A004__crop_10pct.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A004,resize_640,A004__resize_640.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A004,screenshot_sim,A004__screenshot_sim.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A004,platform_strip,A004__platform_strip.jpg,unsigned_generated,,0,0,,0,0,1,no_credential_no_inference_possible
A005,original,A005__original.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A005,recompress_q40,A005__recompress_q40.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A005,crop_10pct,A005__crop_10pct.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A005,resize_640,A005__resize_640.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A005,screenshot_sim,A005__screenshot_sim.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A005,platform_strip,A005__platform_strip.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A006,original,A006__original.jpg,signed_staged_scene,northcam,1,1,0,0,1,0,credential_valid_but_scene_staged
A006,recompress_q40,A006__recompress_q40.jpg,signed_staged_scene,northcam,1,0,0,0,1,0,credential_valid_but_scene_staged
A006,crop_10pct,A006__crop_10pct.jpg,signed_staged_scene,northcam,1,0,16,0,1,0,credential_valid_but_scene_staged
A006,resize_640,A006__resize_640.jpg,signed_staged_scene,northcam,1,0,0,0,1,0,credential_valid_but_scene_staged
A006,screenshot_sim,A006__screenshot_sim.jpg,signed_staged_scene,northcam,1,0,14,0,1,0,credential_valid_but_scene_staged
A006,platform_strip,A006__platform_strip.jpg,signed_staged_scene,northcam,1,0,0,0,1,0,credential_valid_but_scene_staged
A007,original,A007__original.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A007,recompress_q40,A007__recompress_q40.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A007,crop_10pct,A007__crop_10pct.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A007,resize_640,A007__resize_640.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A007,screenshot_sim,A007__screenshot_sim.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A007,platform_strip,A007__platform_strip.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A008,original,A008__original.jpg,signed_untrusted_issuer,ghostsign,0,1,0,0,0,0,signature_valid_issuer_not_trusted
A008,recompress_q40,A008__recompress_q40.jpg,signed_untrusted_issuer,ghostsign,0,0,0,0,0,0,signature_valid_issuer_not_trusted
A008,crop_10pct,A008__crop_10pct.jpg,signed_untrusted_issuer,ghostsign,0,0,26,0,0,0,signature_valid_issuer_not_trusted
A008,resize_640,A008__resize_640.jpg,signed_untrusted_issuer,ghostsign,0,0,0,0,0,0,signature_valid_issuer_not_trusted
A008,screenshot_sim,A008__screenshot_sim.jpg,signed_untrusted_issuer,ghostsign,0,0,22,0,0,0,signature_valid_issuer_not_trusted
A008,platform_strip,A008__platform_strip.jpg,signed_untrusted_issuer,ghostsign,0,0,0,0,0,0,signature_valid_issuer_not_trusted
A009,original,A009__original.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A009,recompress_q40,A009__recompress_q40.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A009,crop_10pct,A009__crop_10pct.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A009,resize_640,A009__resize_640.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A009,screenshot_sim,A009__screenshot_sim.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A009,platform_strip,A009__platform_strip.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A010,original,A010__original.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
A010,recompress_q40,A010__recompress_q40.jpg,unsigned_authentic,,0,0,,0,0,0,no_credential_no_inference_possible
