asset_id,variant,file,has_manifest,manifest_file
A000,original,A000__original.jpg,1,A000.manifest.json
A000,recompress_q40,A000__recompress_q40.jpg,1,A000.manifest.json
A000,crop_10pct,A000__crop_10pct.jpg,1,A000.manifest.json
A000,resize_640,A000__resize_640.jpg,1,A000.manifest.json
A000,screenshot_sim,A000__screenshot_sim.jpg,1,A000.manifest.json
A000,platform_strip,A000__platform_strip.jpg,1,A000.manifest.json
A001,original,A001__original.jpg,1,A001.manifest.json
A001,recompress_q40,A001__recompress_q40.jpg,1,A001.manifest.json
A001,crop_10pct,A001__crop_10pct.jpg,1,A001.manifest.json
A001,resize_640,A001__resize_640.jpg,1,A001.manifest.json
A001,screenshot_sim,A001__screenshot_sim.jpg,1,A001.manifest.json
A001,platform_strip,A001__platform_strip.jpg,1,A001.manifest.json
A002,original,A002__original.jpg,1,A002.manifest.json
A002,recompress_q40,A002__recompress_q40.jpg,1,A002.manifest.json
A002,crop_10pct,A002__crop_10pct.jpg,1,A002.manifest.json
A002,resize_640,A002__resize_640.jpg,1,A002.manifest.json
A002,screenshot_sim,A002__screenshot_sim.jpg,1,A002.manifest.json
A002,platform_strip,A002__platform_strip.jpg,1,A002.manifest.json
A003,original,A003__original.jpg,0,
A003,recompress_q40,A003__recompress_q40.jpg,0,
A003,crop_10pct,A003__crop_10pct.jpg,0,
A003,resize_640,A003__resize_640.jpg,0,
A003,screenshot_sim,A003__screenshot_sim.jpg,0,
A003,platform_strip,A003__platform_strip.jpg,0,
A004,original,A004__original.jpg,0,
A004,recompress_q40,A004__recompress_q40.jpg,0,
A004,crop_10pct,A004__crop_10pct.jpg,0,
A004,resize_640,A004__resize_640.jpg,0,
A004,screenshot_sim,A004__screenshot_sim.jpg,0,
A004,platform_strip,A004__platform_strip.jpg,0,
A005,original,A005__original.jpg,0,
A005,recompress_q40,A005__recompress_q40.jpg,0,
A005,crop_10pct,A005__crop_10pct.jpg,0,
A005,resize_640,A005__resize_640.jpg,0,
A005,screenshot_sim,A005__screenshot_sim.jpg,0,
A005,platform_strip,A005__platform_strip.jpg,0,
A006,original,A006__original.jpg,1,A006.manifest.json
A006,recompress_q40,A006__recompress_q40.jpg,1,A006.manifest.json
A006,crop_10pct,A006__crop_10pct.jpg,1,A006.manifest.json
A006,resize_640,A006__resize_640.jpg,1,A006.manifest.json
A006,screenshot_sim,A006__screenshot_sim.jpg,1,A006.manifest.json
A006,platform_strip,A006__platform_strip.jpg,1,A006.manifest.json
A007,original,A007__original.jpg,0,
A007,recompress_q40,A007__recompress_q40.jpg,0,
A007,crop_10pct,A007__crop_10pct.jpg,0,
A007,resize_640,A007__resize_640.jpg,0,
A007,screenshot_sim,A007__screenshot_sim.jpg,0,
A007,platform_strip,A007__platform_strip.jpg,0,
A008,original,A008__original.jpg,1,A008.manifest.json
A008,recompress_q40,A008__recompress_q40.jpg,1,A008.manifest.json
A008,crop_10pct,A008__crop_10pct.jpg,1,A008.manifest.json
A008,resize_640,A008__resize_640.jpg,1,A008.manifest.json
A008,screenshot_sim,A008__screenshot_sim.jpg,1,A008.manifest.json
A008,platform_strip,A008__platform_strip.jpg,1,A008.manifest.json
A009,original,A009__original.jpg,0,
A009,recompress_q40,A009__recompress_q40.jpg,0,
A009,crop_10pct,A009__crop_10pct.jpg,0,
A009,resize_640,A009__resize_640.jpg,0,
A009,screenshot_sim,A009__screenshot_sim.jpg,0,
A009,platform_strip,A009__platform_strip.jpg,0,
A010,original,A010__original.jpg,0,
A010,recompress_q40,A010__recompress_q40.jpg,0,
A010,crop_10pct,A010__crop_10pct.jpg,0,
A010,resize_640,A010__resize_640.jpg,0,
A010,screenshot_sim,A010__screenshot_sim.jpg,0,
A010,platform_strip,A010__platform_strip.jpg,0,
A011,original,A011__original.jpg,1,A011.manifest.json
A011,recompress_q40,A011__recompress_q40.jpg,1,A011.manifest.json
A011,crop_10pct,A011__crop_10pct.jpg,1,A011.manifest.json
A011,resize_640,A011__resize_640.jpg,1,A011.manifest.json
A011,screenshot_sim,A011__screenshot_sim.jpg,1,A011.manifest.json
A011,platform_strip,A011__platform_strip.jpg,1,A011.manifest.json
A012,original,A012__original.jpg,1,A012.manifest.json
A012,recompress_q40,A012__recompress_q40.jpg,1,A012.manifest.json
A012,crop_10pct,A012__crop_10pct.jpg,1,A012.manifest.json
A012,resize_640,A012__resize_640.jpg,1,A012.manifest.json
A012,screenshot_sim,A012__screenshot_sim.jpg,1,A012.manifest.json
A012,platform_strip,A012__platform_strip.jpg,1,A012.manifest.json
A013,original,A013__original.jpg,1,A013.manifest.json
A013,recompress_q40,A013__recompress_q40.jpg,1,A013.manifest.json
A013,crop_10pct,A013__crop_10pct.jpg,1,A013.manifest.json
A013,resize_640,A013__resize_640.jpg,1,A013.manifest.json
A013,screenshot_sim,A013__screenshot_sim.jpg,1,A013.manifest.json
A013,platform_strip,A013__platform_strip.jpg,1,A013.manifest.json
A014,original,A014__original.jpg,1,A014.manifest.json
A014,recompress_q40,A014__recompress_q40.jpg,1,A014.manifest.json
A014,crop_10pct,A014__crop_10pct.jpg,1,A014.manifest.json
A014,resize_640,A014__resize_640.jpg,1,A014.manifest.json
A014,screenshot_sim,A014__screenshot_sim.jpg,1,A014.manifest.json
A014,platform_strip,A014__platform_strip.jpg,1,A014.manifest.json
A015,original,A015__original.jpg,1,A015.manifest.json
A015,recompress_q40,A015__recompress_q40.jpg,1,A015.manifest.json
A015,crop_10pct,A015__crop_10pct.jpg,1,A015.manifest.json
A015,resize_640,A015__resize_640.jpg,1,A015.manifest.json
A015,screenshot_sim,A015__screenshot_sim.jpg,1,A015.manifest.json
A015,platform_strip,A015__platform_strip.jpg,1,A015.manifest.json
A016,original,A016__original.jpg,0,
A016,recompress_q40,A016__recompress_q40.jpg,0,
A016,crop_10pct,A016__crop_10pct.jpg,0,
A016,resize_640,A016__resize_640.jpg,0,
A016,screenshot_sim,A016__screenshot_sim.jpg,0,
A016,platform_strip,A016__platform_strip.jpg,0,
A017,original,A017__original.jpg,1,A017.manifest.json
A017,recompress_q40,A017__recompress_q40.jpg,1,A017.manifest.json
A017,crop_10pct,A017__crop_10pct.jpg,1,A017.manifest.json
A017,resize_640,A017__resize_640.jpg,1,A017.manifest.json
A017,screenshot_sim,A017__screenshot_sim.jpg,1,A017.manifest.json
A017,platform_strip,A017__platform_strip.jpg,1,A017.manifest.json
A018,original,A018__original.jpg,1,A018.manifest.json
A018,recompress_q40,A018__recompress_q40.jpg,1,A018.manifest.json
A018,crop_10pct,A018__crop_10pct.jpg,1,A018.manifest.json
A018,resize_640,A018__resize_640.jpg,1,A018.manifest.json
A018,screenshot_sim,A018__screenshot_sim.jpg,1,A018.manifest.json
A018,platform_strip,A018__platform_strip.jpg,1,A018.manifest.json
A019,original,A019__original.jpg,1,A019.manifest.json
A019,recompress_q40,A019__recompress_q40.jpg,1,A019.manifest.json
A019,crop_10pct,A019__crop_10pct.jpg,1,A019.manifest.json
A019,resize_640,A019__resize_640.jpg,1,A019.manifest.json
A019,screenshot_sim,A019__screenshot_sim.jpg,1,A019.manifest.json
A019,platform_strip,A019__platform_strip.jpg,1,A019.manifest.json
A020,original,A020__original.jpg,0,
A020,recompress_q40,A020__recompress_q40.jpg,0,
A020,crop_10pct,A020__crop_10pct.jpg,0,
A020,resize_640,A020__resize_640.jpg,0,
A020,screenshot_sim,A020__screenshot_sim.jpg,0,
A020,platform_strip,A020__platform_strip.jpg,0,
A021,original,A021__original.jpg,1,A021.manifest.json
A021,recompress_q40,A021__recompress_q40.jpg,1,A021.manifest.json
A021,crop_10pct,A021__crop_10pct.jpg,1,A021.manifest.json
A021,resize_640,A021__resize_640.jpg,1,A021.manifest.json
A021,screenshot_sim,A021__screenshot_sim.jpg,1,A021.manifest.json
A021,platform_strip,A021__platform_strip.jpg,1,A021.manifest.json
A022,original,A022__original.jpg,1,A022.manifest.json
A022,recompress_q40,A022__recompress_q40.jpg,1,A022.manifest.json
A022,crop_10pct,A022__crop_10pct.jpg,1,A022.manifest.json
A022,resize_640,A022__resize_640.jpg,1,A022.manifest.json
A022,screenshot_sim,A022__screenshot_sim.jpg,1,A022.manifest.json
A022,platform_strip,A022__platform_strip.jpg,1,A022.manifest.json
A023,original,A023__original.jpg,1,A023.manifest.json
A023,recompress_q40,A023__recompress_q40.jpg,1,A023.manifest.json
A023,crop_10pct,A023__crop_10pct.jpg,1,A023.manifest.json
A023,resize_640,A023__resize_640.jpg,1,A023.manifest.json
A023,screenshot_sim,A023__screenshot_sim.jpg,1,A023.manifest.json
A023,platform_strip,A023__platform_strip.jpg,1,A023.manifest.json
A024,original,A024__original.jpg,1,A024.manifest.json
A024,recompress_q40,A024__recompress_q40.jpg,1,A024.manifest.json
A024,crop_10pct,A024__crop_10pct.jpg,1,A024.manifest.json
A024,resize_640,A024__resize_640.jpg,1,A024.manifest.json
A024,screenshot_sim,A024__screenshot_sim.jpg,1,A024.manifest.json
