stimulus_id,file,prompt_to_participant
S00,A078__screenshot_sim.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S01,A046__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S02,A019__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S03,A036__screenshot_sim.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S04,A060__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S05,A058__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S06,A080__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S07,A031__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S08,A079__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S09,A056__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S10,A038__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S11,A036__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S12,A009__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S13,A081__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S14,A047__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S15,A018__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S16,A052__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S17,A026__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S18,A049__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S19,A080__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S20,A065__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S21,A016__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S22,A066__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S23,A045__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S24,A006__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S25,A012__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S26,A004__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S27,A050__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S28,A048__original.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S29,A030__screenshot_sim.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S30,A069__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
S31,A032__platform_strip.jpg,"You are scrolling and see this image. What, if anything, does the interface let you conclude?"
